T (s)	Lin	Ang	X	Y	yaw	dx	dy	v	wz
0.6000	0.0000	0.0000	-2.0000	-0.7850	0.0000	0.0000	0.0000	0.0000	0.0000
0.6100	0.0000	0.0000	-2.0000	-0.7835	0.0000	0.0000	0.0000	0.0000	0.0000
0.6200	0.0000	0.0000	-2.0000	-0.7820	0.0000	0.0000	0.0000	0.0000	0.0000
0.6300	0.0000	0.0000	-2.0000	-0.7805	0.0000	0.0000	0.0000	0.0000	0.0000
0.6400	0.0000	0.0000	-2.0000	-0.7790	0.0000	0.0000	0.0000	0.0000	0.0000
0.6500	0.0000	0.0000	-2.0000	-0.7775	0.0000	0.0000	0.0000	0.0000	0.0000
0.6600	0.0000	0.0000	-2.0000	-0.7760	0.0000	0.0000	0.0000	0.0000	0.0000
0.6700	0.0000	0.0000	-2.0000	-0.7745	0.0000	0.0000	0.0000	0.0000	0.0000
0.6800	0.0000	0.0000	-2.0000	-0.7730	0.0000	0.0000	0.0000	0.0000	0.0000
0.6900	0.0000	0.0000	-2.0000	-0.7715	0.0000	0.0000	0.0000	0.0000	0.0000
0.7000	0.0000	0.0000	-2.0000	-0.7700	0.0000	0.0000	0.0000	0.0000	0.0000
0.7100	0.0000	0.0000	-2.0000	-0.7685	0.0000	0.0000	0.0000	0.0000	0.0000
0.7200	0.0000	0.0000	-2.0000	-0.7670	0.0000	0.0000	0.0000	0.0000	0.0000
0.7300	0.0000	0.0000	-2.0000	-0.7655	0.0000	0.0000	0.0000	0.0000	0.0000
0.7400	0.0000	0.0000	-2.0000	-0.7640	0.0000	0.0000	0.0000	0.0000	0.0000
0.7500	0.0000	0.0000	-2.0000	-0.7625	0.0000	0.0000	0.0000	0.0000	0.0000
0.7600	0.0000	0.0000	-2.0000	-0.7610	0.0000	0.0000	0.0000	0.0000	0.0000
0.7700	0.0000	0.0000	-2.0000	-0.7595	0.0000	0.0000	0.0000	0.0000	0.0000
0.7800	0.0000	0.0000	-2.0000	-0.7580	0.0000	0.0000	0.0000	0.0000	0.0000
0.7900	0.0000	0.0000	-2.0000	-0.7565	0.0000	0.0000	0.0000	0.0000	0.0000
0.8000	0.0000	0.0000	-2.0000	-0.7550	0.0000	0.0000	0.0000	0.0000	0.0000
0.8100	0.0000	0.0000	-2.0000	-0.7535	0.0000	0.0000	0.0000	0.0000	0.0000
0.8200	0.0000	0.0000	-2.0000	-0.7520	0.0000	0.0000	0.0000	0.0000	0.0000
0.8300	0.0000	0.0000	-2.0000	-0.7505	0.0000	0.0000	0.0000	0.0000	0.0000
0.8400	0.0000	0.0000	-2.0000	-0.7490	0.0000	0.0000	0.0000	0.0000	0.0000
0.8500	0.0000	0.0000	-2.0000	-0.7475	0.0000	0.0000	0.0000	0.0000	0.0000
0.8600	0.0000	0.0000	-2.0000	-0.7460	0.0000	0.0000	0.0000	0.0000	0.0000
0.8700	0.0000	0.0000	-2.0000	-0.7445	0.0000	0.0000	0.0000	0.0000	0.0000
0.8800	0.0000	0.0000	-2.0000	-0.7430	0.0000	0.0000	0.0000	0.0000	0.0000
0.8900	0.0000	0.0000	-2.0000	-0.7415	0.0000	0.0000	0.0000	0.0000	0.0000
0.9000	0.0000	0.0000	-2.0000	-0.7400	0.0000	0.0000	0.0000	0.0000	0.0000
0.9100	0.0000	0.0000	-2.0000	-0.7385	0.0000	0.0000	0.0000	0.0000	0.0000
0.9200	0.0000	0.0000	-2.0000	-0.7370	0.0000	0.0000	0.0000	0.0000	0.0000
0.9300	0.0000	0.0000	-2.0000	-0.7355	0.0000	0.0000	0.0000	0.0000	0.0000
0.9400	0.0000	0.0000	-2.0000	-0.7340	0.0000	0.0000	0.0000	0.0000	0.0000
0.9500	0.0000	0.0000	-2.0000	-0.7325	0.0000	0.0000	0.0000	0.0000	0.0000
0.9600	0.0000	0.0000	-2.0000	-0.7310	0.0000	0.0000	0.0000	0.0000	0.0000
0.9700	0.0000	0.0000	-2.0000	-0.7295	0.0000	0.0000	0.0000	0.0000	0.0000
0.9800	0.0000	0.0000	-2.0000	-0.7280	0.0000	0.0000	0.0000	0.0000	0.0000
0.9900	0.0000	0.0000	-2.0000	-0.7265	0.0000	0.0000	0.0000	0.0000	0.0000
1.0000	0.0000	0.0000	-2.0000	-0.7250	0.0000	0.0000	0.0000	0.0000	0.0000
1.0100	0.0000	0.0000	-2.0000	-0.7235	0.0000	0.0000	0.0000	0.0000	0.0000
1.0200	0.0000	0.0000	-2.0000	-0.7220	0.0000	0.0000	0.0000	0.0000	0.0000
1.0300	0.0000	0.0000	-2.0000	-0.7205	0.0000	0.0000	0.0000	0.0000	0.0000
1.0400	0.0000	0.0000	-2.0000	-0.7190	0.0000	0.0000	0.0000	0.0000	0.0000
1.0500	0.0000	0.0000	-2.0000	-0.7175	0.0000	0.0000	0.0000	0.0000	0.0000
1.0600	0.0000	0.0000	-2.0000	-0.7160	0.0000	0.0000	0.0000	0.0000	0.0000
1.0700	0.0000	0.0000	-2.0000	-0.7145	0.0000	0.0000	0.0000	0.0000	0.0000
1.0800	0.0000	0.0000	-2.0000	-0.7130	0.0000	0.0000	0.0000	0.0000	0.0000
1.0900	0.0000	0.0000	-2.0000	-0.7115	0.0000	0.0000	0.0000	0.0000	0.0000
1.1000	0.0000	0.0000	-2.0000	-0.7100	0.0000	0.0000	0.0000	0.0000	0.0000
1.1100	0.0000	0.0000	-2.0000	-0.7085	0.0000	0.0000	0.0000	0.0000	0.0000
1.1200	0.0000	0.0000	-2.0000	-0.7070	0.0000	0.0000	0.0000	0.0000	0.0000
1.1300	0.0000	0.0000	-2.0000	-0.7055	0.0000	0.0000	0.0000	0.0000	0.0000
1.1400	0.0000	0.0000	-2.0000	-0.7040	0.0000	0.0000	0.0000	0.0000	0.0000
1.1500	0.0000	0.0000	-2.0000	-0.7025	0.0000	0.0000	0.0000	0.0000	0.0000
